date	depth
7/28/02	.38
7/29/02	.38
7/30/02	.38
7/31/02	.38
8/1/02	.38
8/2/02	.38
8/3/02	.38
8/4/02	.39
8/5/02	.39
8/6/02	.4
8/7/02	.4
8/8/02	.4
8/9/02	.41
8/10/02	.41
8/11/02	.41
8/12/02	.44
8/13/02	.44
8/14/02	.44
8/15/02	.44
8/16/02	.44
8/17/02	.44
8/18/02	.44
8/19/02	.44
8/20/02	.43
8/21/02	.44
8/22/02	.44
8/23/02	.44
8/24/02	.44
8/25/02	.44
8/26/02	.44
8/27/02	.43
8/28/02	.46
8/29/02	.46
8/30/02	.48
8/31/02	.47
9/1/02	.47
9/2/02	.46
9/3/02	.48
9/4/02	.48
9/5/02	.47
9/6/02	.47
9/7/02	.47
9/8/02	.47
9/9/02	.47
9/10/02	.48
9/11/02	.48
9/12/02	.5
9/13/02	.5
9/14/02	.5
9/15/02	.49
9/16/02	.49
9/17/02	.48
9/18/02	.47
9/19/02	.47
9/20/02	.46
9/21/02	.46
9/22/02	.46
9/23/02	.46
9/24/02	.48
9/25/02	.49
9/26/02	.49
9/27/02	.49
9/28/02	.5
9/29/02	.5
9/30/02	.49
10/1/02	.48
10/2/02	.48
10/3/02	.47
10/4/02	.47
10/5/02	.47
10/6/02	.48
10/7/02	.47
10/8/02	.47
10/9/02	.46
10/10/02	.46
10/11/02	.47
10/12/02	.48
10/13/02	.47
10/14/02	.47
10/15/02	.46
10/16/02	.48
10/17/02	.47
10/18/02	.47
10/19/02	.47
10/20/02	.46
10/21/02	.47
10/22/02	.47
10/23/02	.47
10/24/02	.46
10/25/02	.46
10/26/02	.46
10/27/02	.45
10/28/02	.45
10/29/02	.45
10/30/02	.44
10/31/02	.44
11/1/02	.43
11/2/02	.43
11/3/02	.43
11/4/02	.42
11/5/02	.42
11/6/02	.42
11/7/02	.41
11/8/02	.41
11/9/02	.41
11/10/02	.41
11/11/02	.41
11/12/02	.4
11/13/02	.41
11/14/02	.4
11/15/02	.39
11/16/02	.39
11/17/02	.46
11/18/02	.45
11/19/02	.44
11/20/02	.43
11/21/02	.42
11/22/02	.42
11/23/02	.41
11/24/02	.39
11/25/02	.39
11/26/02	.38
11/27/02	.37
11/28/02	.37
11/29/02	.36
11/30/02	.35
12/1/02	.34
12/2/02	.34
12/3/02	.33
12/4/02	.32
12/5/02	.32
12/6/02	.31
12/7/02	.31
12/8/02	.31
12/9/02	.31
12/10/02	.37
12/11/02	.36
12/12/02	.36
12/13/02	.35
12/14/02	.35
12/15/02	.34
12/16/02	.33
12/17/02	.32
12/18/02	.32
12/19/02	.31
12/20/02	.31
12/21/02	.3
12/22/02	.3
12/23/02	.29
12/24/02	.29
12/25/02	.29
12/26/02	.28
12/27/02	.28
12/28/02	.27
12/29/02	.27
12/30/02	.26
12/31/02	.26
1/1/03	.26
1/2/03	.26
1/3/03	.27
1/4/03	.27
1/5/03	.26
1/6/03	.26
1/7/03	.25
1/8/03	.25
1/9/03	.25
1/10/03	.24
1/11/03	.24
1/12/03	.24
1/13/03	.23
1/14/03	.23
1/15/03	.23
1/16/03	.23
1/17/03	.22
1/18/03	.22
1/19/03	.22
1/20/03	.21
1/21/03	.21
1/22/03	.21
1/23/03	.21
1/24/03	.2
1/25/03	.2
1/26/03	.2
1/27/03	.2
1/28/03	.19
1/29/03	.19
1/30/03	.19
1/31/03	.19
2/1/03	.19
2/2/03	.18
2/3/03	.18
2/4/03	.18
2/5/03	.18
2/6/03	.18
2/7/03	.18
2/8/03	.17
2/9/03	.17
2/10/03	.17
2/11/03	.17
2/12/03	.16
2/13/03	.16
2/14/03	.16
2/15/03	.16
2/16/03	.16
2/17/03	.16
2/18/03	.16
2/19/03	.16
2/20/03	.16
2/21/03	.16
2/22/03	.16
2/23/03	.16
2/24/03	.16
2/25/03	.16
2/26/03	.21
2/27/03	.2
2/28/03	.19
3/1/03	.19
3/2/03	.18
3/3/03	.18
3/4/03	.18
3/5/03	.17
3/6/03	.17
3/7/03	.16
3/8/03	.16
3/9/03	.16
3/10/03	.16
3/11/03	.16
3/12/03	.15
3/13/03	.15
3/14/03	.14
3/15/03	.14
3/16/03	.14
3/17/03	.16
3/18/03	.16
3/19/03	.15
3/20/03	.15
3/21/03	.15
3/22/03	.14
3/23/03	.14
3/24/03	.13
3/25/03	.13
3/26/03	.12
3/27/03	.13
3/28/03	.14
3/29/03	.14
3/30/03	.14
3/31/03	.13
4/1/03	.13
4/2/03	.12
4/3/03	.12
4/4/03	.12
4/5/03	.11
4/6/03	.11
4/7/03	.11
4/8/03	.1
4/9/03	.1
4/10/03	.1
4/11/03	.09
4/12/03	.09
4/13/03	.08
4/14/03	.07
4/15/03	.07
4/16/03	.06
4/17/03	.07
4/18/03	.15
4/19/03	.17
4/20/03	.17
4/21/03	.16
4/22/03	.15
4/23/03	.14
4/24/03	.13
4/25/03	.13
4/26/03	.14
4/27/03	.16
4/28/03	.16
4/29/03	.16
4/30/03	.16
5/1/03	.2
5/2/03	.19
5/3/03	.19
5/4/03	.21
5/5/03	.21
5/6/03	.2
5/7/03	.2
5/8/03	.2
5/9/03	.19
5/10/03	.19
5/11/03	.19
5/12/03	.18
5/13/03	.18
5/14/03	.18
5/15/03	.17
5/16/03	.17
5/17/03	.17
5/18/03	.17
5/19/03	.16
5/20/03	.17
5/21/03	.16
5/22/03	.16
5/23/03	.16
5/24/03	.15
5/25/03	.21
5/26/03	.25
5/27/03	.26
5/28/03	.29
5/29/03	.33
5/30/03	.32
5/31/03	.32
6/1/03	.31
6/2/03	.3
6/3/03	.29
6/4/03	.29
6/5/03	.28
6/6/03	.28
6/7/03	.32
6/8/03	.32
6/9/03	.32
6/10/03	.33
6/11/03	.32
6/12/03	.32
6/13/03	.34
6/14/03	.33
6/15/03	.33
6/16/03	.34
