                             GENEMARK PREDICTIONS

Sequence: chrY:22407149-23158651
Sequence file: gm_sequence
Sequence length: 751503
GC Content:  40.15%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: human_38.mat
Matrix author: Nikolai Ivanov
Matrix order: 5

List of Regions of interest
(regions from stop to stop codon w/ a signal in between)

  LEnd      REnd    Strand      Frame
  184271    184462  direct      fr 2
  186176    186370  direct      fr 2
  186225    186401  direct      fr 3
  186343    186573  complement  fr 3
  186877    187047  complement  fr 3
  188906    189076  complement  fr 1
  189280    189501  complement  fr 3
  189404    189775  direct      fr 2
  190066    190374  complement  fr 3
  190109    190309  direct      fr 2
  190236    190667  direct      fr 3
  190750    190935  direct      fr 1
  190933    191412  direct      fr 1
  191402    191713  direct      fr 2
  192188    192550  direct      fr 2
  192469    193026  direct      fr 1
  192858    193154  complement  fr 2
  193232    194005  direct      fr 2
  196253    196507  direct      fr 2
  197474    197689  complement  fr 1
  197569    197826  direct      fr 1
  200412    200681  direct      fr 3
  201147    201467  direct      fr 3
  208770    209072  complement  fr 2
  210318    210479  complement  fr 2
  213067    213222  direct      fr 1
  214024    214203  complement  fr 3
  214234    214449  direct      fr 1
  214428    214562  complement  fr 2
  220457    220828  complement  fr 1
  220512    220712  complement  fr 2
  220710    221033  complement  fr 2
  222554    222883  direct      fr 2
  225246    225410  complement  fr 2
  227655    227873  direct      fr 3
  227888    228082  direct      fr 2
  228209    228451  direct      fr 2
  228365    228568  complement  fr 1
  228591    228749  complement  fr 2
  228880    229104  direct      fr 1
  229808    230050  complement  fr 1
  230085    230345  direct      fr 3
  231564    231746  direct      fr 3
  231659    231865  complement  fr 1
  231906    232118  direct      fr 3
  232551    232721  direct      fr 3
  232871    233062  complement  fr 1
  233854    234084  complement  fr 3
  233953    234249  direct      fr 1
  234358    234603  complement  fr 3
  234625    234918  complement  fr 3
  235102    235575  complement  fr 3
  235892    236155  direct      fr 2
  236153    236671  direct      fr 2
  237549    237812  direct      fr 3
  238098    238286  complement  fr 2
  238320    238625  direct      fr 3
  238457    238663  direct      fr 2
  238819    239208  direct      fr 1
  239124    239447  direct      fr 3
  241673    242158  direct      fr 2
  241987    242244  complement  fr 3
  242636    242926  direct      fr 2
  244163    244399  direct      fr 2
  245208    245414  direct      fr 3
  245552    245938  direct      fr 2
  246016    246222  direct      fr 1
  247775    248221  direct      fr 2
  248049    248267  direct      fr 3
  248381    248746  complement  fr 1
  249213    249515  complement  fr 2
  249253    249498  complement  fr 3
  249621    249866  direct      fr 3
  250535    250801  direct      fr 2
  250710    251009  direct      fr 3
  250799    251143  direct      fr 2
  251002    251181  direct      fr 1
  252695    253048  direct      fr 2
  252884    253276  complement  fr 1
  253669    253947  complement  fr 3
  253761    254003  direct      fr 3
  253861    254073  direct      fr 1
  254920    255078  direct      fr 1
  255257    255496  direct      fr 2
  255542    255997  direct      fr 2
  256628    256999  complement  fr 1
  257191    257457  direct      fr 1
  258285    258521  complement  fr 2
  259318    259485  complement  fr 3
  259687    259839  complement  fr 3
  259884    260138  direct      fr 3
  260240    260467  direct      fr 2
  260421    260972  direct      fr 3
  261487    261933  direct      fr 1
  261816    262355  direct      fr 3
  262114    262419  direct      fr 1
  262987    263385  direct      fr 1
  263282    263470  direct      fr 2
  263666    264094  complement  fr 1
  264092    264259  complement  fr 1
  265100    265549  direct      fr 2
  265465    265731  direct      fr 1
  265729    265968  direct      fr 1
  266210    266527  complement  fr 1
  266595    266744  direct      fr 3
  267261    267410  direct      fr 3
  267467    267766  direct      fr 2
  267821    268057  direct      fr 2
  268228    268467  direct      fr 1
  268546    268920  complement  fr 3
  269721    269918  complement  fr 2
  270174    270770  direct      fr 3
  270798    270992  direct      fr 3
  271932    272267  complement  fr 2
  272477    272698  direct      fr 2
  272602    272769  complement  fr 3
  272767    272952  complement  fr 3
  273236    273403  direct      fr 2
  273409    273645  direct      fr 1
  274021    274215  direct      fr 1
  274190    274393  direct      fr 2
  274588    274854  direct      fr 1
  274839    275093  direct      fr 3
  275003    275176  direct      fr 2
  275086    275274  direct      fr 1
  275303    275707  direct      fr 2
  276499    276681  complement  fr 3
  276564    277061  complement  fr 2
  276998    277171  direct      fr 2
  277331    277576  complement  fr 1
  277374    277688  direct      fr 3
  277702    277959  complement  fr 3
  277766    278149  direct      fr 2
  278112    278258  direct      fr 3
  278836    279015  direct      fr 1
  279096    279401  direct      fr 3
  279422    279601  direct      fr 2
  279599    279901  direct      fr 2
  280654    280947  direct      fr 1
  281266    281445  direct      fr 1
  281340    281525  direct      fr 3
  281612    281974  direct      fr 2
  282325    282666  complement  fr 3
  282328    282516  direct      fr 1
  283464    283721  direct      fr 3
  283793    283957  direct      fr 2
  284850    285143  direct      fr 3
  284950    285135  direct      fr 1
  285407    285640  complement  fr 1
  285638    285985  complement  fr 1
  285947    286222  direct      fr 2
  286176    286406  direct      fr 3
  286573    286974  direct      fr 1
  287200    287568  complement  fr 3
  288681    288947  complement  fr 2
  289051    289383  direct      fr 1
  289411    289584  direct      fr 1
  289681    290013  complement  fr 3
  289962    290189  direct      fr 3
  290089    290373  complement  fr 3
  290837    290989  direct      fr 2
  291052    291327  complement  fr 3
  291228    291404  complement  fr 2
  291438    291785  direct      fr 3
  291876    292070  direct      fr 3
  293030    293251  direct      fr 2
  293474    293866  direct      fr 2
  293929    294183  direct      fr 1
  294262    294513  direct      fr 1
  294580    294786  complement  fr 3
  295247    295444  direct      fr 2
  296034    296255  complement  fr 2
  296384    296614  complement  fr 1
  296762    297001  direct      fr 2
  296917    297249  direct      fr 1
  297791    298180  direct      fr 2
  297930    298289  direct      fr 3
  299169    299381  direct      fr 3
  299229    299585  complement  fr 2
  299560    299754  direct      fr 1
  300228    300662  complement  fr 2
  300587    300805  direct      fr 2
  300780    300938  complement  fr 2
  301311    301466  complement  fr 2
  301470    301640  complement  fr 2
  301728    302270  direct      fr 3
  302520    302726  direct      fr 3
  302755    303174  direct      fr 1
  303375    303584  direct      fr 3
  303487    303723  direct      fr 1
  303752    304054  complement  fr 1
  304255    304524  direct      fr 1
  304343    304621  direct      fr 2
  304522    304881  direct      fr 1
  305398    305553  complement  fr 3
  305735    305908  complement  fr 1
  305910    306098  direct      fr 3
  306102    306296  direct      fr 3
  306308    306502  complement  fr 1
  307335    307748  complement  fr 2
  308254    308625  complement  fr 3
  308361    308519  direct      fr 3
  308393    308815  direct      fr 2
  309518    309748  complement  fr 1
  311019    311258  complement  fr 2
  312563    312802  complement  fr 1
  313518    313706  direct      fr 3
  317207    317581  complement  fr 1
  317257    317553  complement  fr 3
  318085    318288  complement  fr 3
  318950    319267  complement  fr 1
  320712    320945  complement  fr 2
  321259    321414  complement  fr 3
  329237    329380  complement  fr 1
  330030    330269  direct      fr 3
  331249    331449  direct      fr 1
  331278    331874  direct      fr 3
  331658    331867  complement  fr 1
  331844    332140  direct      fr 2
  332125    332421  direct      fr 1
  332160    332831  direct      fr 3
  332419    332718  direct      fr 1
  332577    333008  complement  fr 2
  332816    333136  direct      fr 2
  333151    333939  direct      fr 1
  333204    333608  direct      fr 3
  333832    333984  complement  fr 3
  333846    334196  complement  fr 2
  333986    334522  complement  fr 1
  334470    334814  direct      fr 3
  339988    340221  direct      fr 1
  341412    341906  complement  fr 2
  342073    342264  complement  fr 3
  345501    345767  direct      fr 3
  345597    345863  complement  fr 2
  345940    346107  complement  fr 3
  348344    348520  complement  fr 1
  351960    352172  direct      fr 3
  357680    358045  direct      fr 2
  360764    361051  complement  fr 1
  360874    361128  direct      fr 1
  364826    365023  direct      fr 2
  365547    365783  complement  fr 2
  366887    367027  direct      fr 2
  366918    367109  direct      fr 3
  367403    367588  direct      fr 2
  367799    367957  direct      fr 2
  370275    370652  complement  fr 2
  372132    372281  direct      fr 3
  372329    372529  complement  fr 1
  372424    372723  complement  fr 3
  372659    372937  direct      fr 2
  373187    373450  complement  fr 1
  375963    376487  complement  fr 2
  376903    377076  complement  fr 3
  377066    377470  complement  fr 1
  377317    377823  complement  fr 3
  377864    378079  complement  fr 1
  378046    378225  complement  fr 3
  378182    378619  complement  fr 1
  379239    379439  direct      fr 3
  379962    380183  direct      fr 3
  381709    381984  direct      fr 1
  383030    383203  complement  fr 1
  387511    387804  complement  fr 3
  387902    388108  complement  fr 1
  391329    391628  complement  fr 2
  391675    391941  direct      fr 1
  392692    393036  direct      fr 1
  396215    396364  complement  fr 1
  397755    397988  complement  fr 2
  398084    398305  direct      fr 2
  398872    399225  complement  fr 3
  399071    399358  direct      fr 2
  399412    399651  complement  fr 3
  399669    399839  complement  fr 2
  400390    400785  complement  fr 3
  400712    400990  complement  fr 1
  401761    402114  complement  fr 3
  402154    402555  complement  fr 3
  402800    402979  complement  fr 1
  403001    403183  complement  fr 1
  403036    403308  direct      fr 1
  403181    403399  complement  fr 1
  404528    404698  complement  fr 1
  404668    404916  complement  fr 3
  405322    405573  complement  fr 3
  405769    405954  complement  fr 3
  406106    406342  complement  fr 1
  406668    406988  complement  fr 2
  407174    407386  direct      fr 2
  407219    407791  complement  fr 1
  407800    408201  direct      fr 1
  407955    408122  complement  fr 2
  408495    408866  complement  fr 2
  408851    409168  complement  fr 1
  409155    409529  complement  fr 2
  409632    409907  complement  fr 2
  409863    410135  direct      fr 3
  410343    410747  complement  fr 2
  410728    410988  complement  fr 3
  414099    414335  complement  fr 2
  414499    414717  complement  fr 3
  415420    415665  direct      fr 1
  418552    418776  direct      fr 1
  420293    420487  direct      fr 2
  421049    421258  complement  fr 1
  421583    421729  direct      fr 2
  429972    430157  complement  fr 2
  435237    435404  direct      fr 3
  438797    439042  direct      fr 2
  439398    439979  complement  fr 2
  439505    439825  direct      fr 2
  439586    439804  complement  fr 1
  440064    440210  direct      fr 3
  442715    443026  complement  fr 1
  442825    443187  complement  fr 3
  443328    443843  direct      fr 3
  443607    443870  complement  fr 2
  443822    444250  direct      fr 2
  444403    444726  complement  fr 3
  444681    444935  direct      fr 3
  445339    445650  direct      fr 1
  446336    446542  direct      fr 2
  446358    446714  direct      fr 3
  446712    446897  direct      fr 3
  450128    450373  direct      fr 2
  450947    451114  direct      fr 2
  453446    453643  complement  fr 1
  453625    453843  complement  fr 3
  453767    454021  complement  fr 1
  454068    454361  direct      fr 3
  454772    454972  direct      fr 2
  454825    455148  complement  fr 3
  454876    455154  direct      fr 1
  455236    455535  direct      fr 1
  455397    455570  direct      fr 3
  455546    456055  direct      fr 2
  455739    456230  complement  fr 2
  455993    456301  complement  fr 1
  456145    456399  complement  fr 3
  456307    456465  direct      fr 1
  456366    456689  complement  fr 2
  456705    456890  direct      fr 3
  456834    457043  complement  fr 2
  456980    457204  direct      fr 2
  457130    457330  complement  fr 1
  458166    458384  complement  fr 2
  459197    459370  direct      fr 2
  461843    462109  direct      fr 2
  462877    463152  direct      fr 1
  468626    468892  direct      fr 2
  469233    469382  direct      fr 3
  469880    470200  direct      fr 2
  473561    474130  direct      fr 2
  473593    473883  complement  fr 3
  474949    475281  direct      fr 1
  475224    475367  direct      fr 3
  475279    475539  direct      fr 1
  475628    475783  direct      fr 2
  478377    478715  direct      fr 3
  479328    479846  complement  fr 2
  479414    479779  complement  fr 1
  480129    480452  complement  fr 2
  480384    480536  direct      fr 3
  480461    480838  direct      fr 2
  480467    480781  complement  fr 1
  484315    484722  complement  fr 3
  484422    484829  direct      fr 3
  484822    485061  direct      fr 1
  485118    485345  complement  fr 2
  488478    489212  complement  fr 2
  489210    489698  complement  fr 2
  489424    489780  complement  fr 3
  489696    491342  complement  fr 2
  490308    490499  direct      fr 3
  491269    492036  complement  fr 3
  492053    492256  complement  fr 1
  492109    493236  complement  fr 3
  493342    493626  direct      fr 1
  493443    493889  direct      fr 3
  493642    493938  complement  fr 3
  500277    500432  direct      fr 3
  501442    501672  complement  fr 3
  502354    502587  complement  fr 3
  502694    502933  direct      fr 2
  508104    508286  complement  fr 2
  513779    513985  direct      fr 2
  514250    514498  complement  fr 1
  514465    514839  direct      fr 1
  514739    514984  complement  fr 1
  515449    515952  direct      fr 1
  515540    516100  complement  fr 1
  515601    516065  complement  fr 2
  515938    516135  complement  fr 3
  520107    520358  direct      fr 3
  521166    521453  direct      fr 3
  521330    521605  direct      fr 2
  521620    521925  direct      fr 1
  522807    522968  complement  fr 2
  523911    524081  complement  fr 2
  531020    531232  complement  fr 1
  534672    534848  direct      fr 3
  537329    537595  direct      fr 2
  538506    538718  direct      fr 3
  540928    541119  direct      fr 1
  541286    541780  direct      fr 2
  542971    543204  complement  fr 3
  548378    548722  complement  fr 1
  548542    548871  complement  fr 3
  548670    549206  direct      fr 3
  548996    549346  direct      fr 2
  549208    549360  direct      fr 1
  549253    550041  complement  fr 3
  549584    549988  complement  fr 1
  550056    550376  complement  fr 2
  550149    550337  direct      fr 3
  550184    550615  direct      fr 2
  550361    551032  complement  fr 1
  550474    550773  complement  fr 3
  550771    551067  complement  fr 3
  551052    551348  complement  fr 2
  551242    551517  direct      fr 1
  551318    551914  complement  fr 1
  551325    551534  direct      fr 3
  551650    551817  direct      fr 1
  551743    552165  complement  fr 3
  552685    552924  complement  fr 3
  552776    552994  complement  fr 1
  552922    553161  complement  fr 3
  553811    553954  direct      fr 2
  556501    556767  direct      fr 1
  561783    561938  direct      fr 3
  562848    563096  direct      fr 3
  563930    564247  direct      fr 2
  564909    565112  direct      fr 3
  565644    565940  direct      fr 3
  569491    569679  complement  fr 3
  570395    570634  direct      fr 2
  571939    572178  direct      fr 1
  573449    573679  direct      fr 2
  574382    574804  complement  fr 1
  574572    574943  direct      fr 3
  575449    575862  direct      fr 1
  576695    576889  direct      fr 2
  576736    576939  direct      fr 1
  576901    577095  complement  fr 3
  577099    577287  complement  fr 3
  577289    577462  direct      fr 2
  577644    577799  direct      fr 3
  578316    578675  complement  fr 2
  578576    578854  complement  fr 1
  578673    578942  complement  fr 2
  579039    579242  complement  fr 2
  579474    579710  complement  fr 2
  579613    579822  complement  fr 3
  580023    580442  complement  fr 2
  580471    580677  complement  fr 3
  580927    581469  complement  fr 3
  581558    581728  direct      fr 2
  581732    581887  direct      fr 2
  582117    582332  complement  fr 2
  582393    582611  complement  fr 2
  582536    582970  direct      fr 2
  583338    583523  direct      fr 3
  583444    583638  complement  fr 3
  583613    583969  direct      fr 2
  583817    584029  complement  fr 1
  585018    585407  complement  fr 2
  585949    586281  complement  fr 3
  586197    586436  complement  fr 2
  586584    586814  direct      fr 3
  586943    587164  direct      fr 2
  587250    587432  direct      fr 3
  587754    587951  complement  fr 2
  588412    588618  direct      fr 1
  588685    588936  complement  fr 3
  589015    589269  complement  fr 3
  589273    589707  direct      fr 1
  589332    589724  complement  fr 2
  589947    590168  complement  fr 2
  591126    591320  complement  fr 2
  591411    591758  complement  fr 2
  591792    591968  direct      fr 3
  591869    592144  direct      fr 2
  592040    592393  complement  fr 1
  592207    592359  complement  fr 3
  592823    593107  direct      fr 2
  593007    593234  complement  fr 2
  593183    593515  direct      fr 2
  593612    593785  complement  fr 1
  593813    594145  complement  fr 1
  595109    595336  complement  fr 1
  595628    595996  direct      fr 2
  596222    596623  complement  fr 1
  596790    597020  complement  fr 2
  596974    597249  complement  fr 3
  597211    597558  direct      fr 1
  597564    597788  direct      fr 3
  598052    598345  complement  fr 1
  598060    598245  complement  fr 3
  598761    599075  complement  fr 2
  599238    599402  complement  fr 2
  599474    599731  complement  fr 1
  600529    600870  direct      fr 1
  600679    600867  complement  fr 3
  601221    601583  complement  fr 2
  601670    601855  complement  fr 1
  601750    601929  complement  fr 3
  602248    602541  complement  fr 3
  603023    603193  complement  fr 1
  603289    603591  complement  fr 3
  603589    603768  complement  fr 3
  603789    604094  complement  fr 2
  604175    604354  complement  fr 1
  604932    605078  complement  fr 2
  605041    605424  complement  fr 3
  605502    605816  complement  fr 2
  605614    605859  direct      fr 1
  606019    606192  complement  fr 3
  606129    606626  direct      fr 3
  606509    606691  direct      fr 2
  607483    607887  complement  fr 3
  607916    608104  complement  fr 1
  608014    608187  complement  fr 3
  608097    608351  complement  fr 2
  608336    608602  complement  fr 1
  608797    609000  complement  fr 3
  608975    609169  complement  fr 1
  609545    609781  complement  fr 1
  610421    610588  direct      fr 2
  610492    610713  complement  fr 3
  610923    611258  direct      fr 3
  612198    612392  complement  fr 2
  612420    613016  complement  fr 2
  613272    613469  direct      fr 3
  614270    614644  direct      fr 2
  614723    614962  complement  fr 1
  615133    615369  complement  fr 3
  615424    615723  complement  fr 3
  615780    615929  complement  fr 2
  616447    616596  complement  fr 3
  616664    616981  direct      fr 2
  617223    617462  complement  fr 2
  617460    617726  complement  fr 2
  617642    618091  complement  fr 1
  618166    618321  direct      fr 1
  618319    618516  direct      fr 1
  618932    619099  direct      fr 2
  619097    619525  direct      fr 2
  619721    619909  complement  fr 1
  619806    620204  complement  fr 2
  620772    621077  complement  fr 2
  620836    621375  complement  fr 3
  621258    621704  complement  fr 2
  622219    622800  complement  fr 3
  622674    622853  direct      fr 3
  622713    622940  complement  fr 2
  623042    623296  complement  fr 1
  623695    623862  direct      fr 1
  623882    624049  complement  fr 1
  624659    624895  direct      fr 2
  624951    625232  complement  fr 2
  625723    625989  complement  fr 3
  626181    626552  direct      fr 3
  627183    627638  complement  fr 2
  627684    627923  complement  fr 2
  628102    628260  complement  fr 3
  629107    629319  complement  fr 3
  629177    629419  complement  fr 1
  629233    629511  direct      fr 1
  629904    630296  direct      fr 3
  630132    630485  complement  fr 2
  630598    630915  complement  fr 3
  631999    632178  complement  fr 3
  632037    632381  complement  fr 2
  632171    632470  complement  fr 1
  632379    632645  complement  fr 2
  633665    633967  direct      fr 2
  633682    633927  direct      fr 1
  634434    634799  direct      fr 3
  634913    635131  complement  fr 1
  634959    635405  complement  fr 2
  636176    636460  complement  fr 1
  636957    637163  complement  fr 2
  637241    637627  complement  fr 1
  637631    637861  direct      fr 2
  637765    637971  complement  fr 3
  638779    639015  complement  fr 3
  639049    639225  direct      fr 1
  640253    640543  complement  fr 1
  640389    640559  complement  fr 2
  641021    641506  complement  fr 1
  643732    644055  complement  fr 3
  643971    644360  complement  fr 2
  644516    644722  complement  fr 1
  644554    644859  complement  fr 3
  644893    645081  direct      fr 1
  645367    645567  complement  fr 3
  646507    647025  complement  fr 3
  647023    647286  complement  fr 3
  647603    648076  direct      fr 2
  648260    648553  direct      fr 2
  648575    648820  direct      fr 2
  648929    649225  complement  fr 1
  649094    649324  direct      fr 2
  650116    650307  direct      fr 1
  650457    650627  complement  fr 2
  651060    651272  complement  fr 2
  651313    651519  direct      fr 1
  651432    651614  complement  fr 2
  652833    653093  complement  fr 2
  653128    653370  direct      fr 1
  654610    654813  direct      fr 1
  654727    654969  complement  fr 3
  655305    655523  complement  fr 2
  657768    657932  direct      fr 3
  658976    659251  direct      fr 2
  660287    660616  complement  fr 1
  661210    661503  complement  fr 3
  661496    661693  complement  fr 1
  662134    662457  direct      fr 1
  662339    662710  direct      fr 2
  662455    662655  direct      fr 1
  664970    665569  complement  fr 1
  668718    668933  complement  fr 2
  668964    669143  direct      fr 3
  669680    669958  complement  fr 1
  672688    672849  direct      fr 1
  672756    672947  direct      fr 3
  674095    674397  direct      fr 1
  681701    682021  complement  fr 1
  682487    682756  complement  fr 1
  685342    685599  complement  fr 3
  685479    685694  direct      fr 3
  686661    686915  complement  fr 2
  689164    689937  complement  fr 3
  690015    690311  direct      fr 3
  690143    690700  complement  fr 1
  690619    690981  complement  fr 3
  691456    691767  complement  fr 3
  691757    692236  complement  fr 1
  692234    692419  complement  fr 1
  692502    692933  complement  fr 2
  692795    693103  direct      fr 2
  692860    693060  complement  fr 3
  693394    693765  complement  fr 3
  693668    693889  direct      fr 2
  694093    694263  direct      fr 1
  696122    696292  direct      fr 2
  696596    696826  direct      fr 2
  696799    696993  complement  fr 3
  698707    698898  complement  fr 3
  699017    699247  direct      fr 2
  699415    699765  complement  fr 3
  700266    700484  complement  fr 2
  700482    700757  complement  fr 2
  701261    701512  complement  fr 1
  701587    702015  direct      fr 1
  701608    701802  complement  fr 3
  701718    701933  complement  fr 2
  701839    702039  complement  fr 3
  702193    702411  complement  fr 3
  702444    702716  complement  fr 2
  702932    703159  complement  fr 1
